Unnamed: 0,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Temperature_C
1,Assam,BAKSA,2005,Autumn     ,Rice,17083.0,15415.0,26.0
2,Assam,BAKSA,2005,Kharif     ,Arhar/Tur,191.0,115.0,23.4
3,Assam,BAKSA,2005,Kharif     ,Castor seed,22.0,11.0,25.1
4,Assam,BAKSA,2005,Kharif     ,Cotton(lint),8.0,4.0,28.1
5,Assam,BAKSA,2005,Kharif     ,Jute,382.0,3540.0,24.2
6,Assam,BAKSA,2005,Kharif     ,Maize,179.0,134.0,26.7
7,Assam,BAKSA,2005,Kharif     ,Mesta,98.0,381.0,29.1
8,Assam,BAKSA,2005,Kharif     ,Niger seed,518.0,269.0,25.4
9,Assam,BAKSA,2005,Kharif     ,Sesamum,509.0,266.0,26.9
10,Assam,BAKSA,2005,Kharif     ,Small millets,247.0,110.0,22.5
11,Assam,BAKSA,2005,Rabi       ,Gram,58.0,26.0,27.3
12,Assam,BAKSA,2005,Rabi       ,Linseed,728.0,422.0,24.0
13,Assam,BAKSA,2005,Rabi       ,Masoor,1973.0,1026.0,23.2
14,Assam,BAKSA,2005,Rabi       ,Moong(Green Gram),295.0,126.0,23.1
15,Assam,BAKSA,2005,Rabi       ,Other  Rabi pulses,5239.0,3217.0,27.1
16,Assam,BAKSA,2005,Rabi       ,Peas & beans (Pulses),1268.0,989.0,29.7
17,Assam,BAKSA,2005,Rabi       ,Rapeseed &Mustard,9254.0,4072.0,25.4
18,Assam,BAKSA,2005,Rabi       ,Urad,1322.0,733.0,21.4
19,Assam,BAKSA,2005,Rabi       ,Wheat,2159.0,2457.0,21.6
20,Assam,BAKSA,2005,Summer     ,Rice,12650.0,17027.0,20.0
21,Assam,BAKSA,2005,Whole Year ,Banana,1191.0,17437.0,23.2
22,Assam,BAKSA,2005,Whole Year ,Dry chillies,601.0,443.0,20.0
23,Assam,BAKSA,2005,Whole Year ,Onion,279.0,279.0,28.9
24,Assam,BAKSA,2005,Whole Year ,Potato,3501.0,17666.0,20.0
25,Assam,BAKSA,2005,Whole Year ,Sugarcane,219.0,8110.0,22.1
26,Assam,BAKSA,2005,Whole Year ,Sweet potato,137.0,771.0,22.0
27,Assam,BAKSA,2005,Whole Year ,Tapioca,92.0,649.0,26.3
28,Assam,BAKSA,2005,Whole Year ,Tobacco,10.0,4.0,23.8
29,Assam,BAKSA,2005,Whole Year ,Turmeric,572.0,529.0,29.2
30,Assam,BAKSA,2005,Winter     ,Rice,66229.0,93287.0,14.7
31,Assam,BAKSA,2006,Autumn     ,Rice,26235.0,23208.0,25.9
32,Assam,BAKSA,2006,Kharif     ,Arhar/Tur,188.0,113.0,25.8
33,Assam,BAKSA,2006,Kharif     ,Castor seed,41.0,21.0,24.2
34,Assam,BAKSA,2006,Kharif     ,Cotton(lint),7.0,3.0,30.0
35,Assam,BAKSA,2006,Kharif     ,Jute,1478.0,14320.0,20.0
36,Assam,BAKSA,2006,Kharif     ,Maize,210.0,158.0,25.9
37,Assam,BAKSA,2006,Kharif     ,Mesta,150.0,583.0,27.7
38,Assam,BAKSA,2006,Kharif     ,Niger seed,550.0,286.0,23.5
39,Assam,BAKSA,2006,Kharif     ,Sesamum,471.0,246.0,30.0
40,Assam,BAKSA,2006,Kharif     ,Small millets,278.0,124.0,25.9
41,Assam,BAKSA,2006,Rabi       ,Gram,118.0,53.0,25.2
42,Assam,BAKSA,2006,Rabi       ,Linseed,768.0,445.0,24.2
43,Assam,BAKSA,2006,Rabi       ,Masoor,1890.0,983.0,28.1
44,Assam,BAKSA,2006,Rabi       ,Moong(Green Gram),322.0,137.0,23.5
45,Assam,BAKSA,2006,Rabi       ,Other  Rabi pulses,617.0,443.0,20.0
46,Assam,BAKSA,2006,Rabi       ,Peas & beans (Pulses),1174.0,916.0,29.5
47,Assam,BAKSA,2006,Rabi       ,Rapeseed &Mustard,10758.0,5228.0,21.0
48,Assam,BAKSA,2006,Rabi       ,Urad,1380.0,709.0,27.5
49,Assam,BAKSA,2006,Rabi       ,Wheat,2853.0,3230.0,27.9
50,Assam,BAKSA,2006,Summer     ,Rice,12737.0,25691.0,20.2
51,Assam,BAKSA,2006,Whole Year ,Arecanut,4136.0,3174.0,24.3
52,Assam,BAKSA,2006,Whole Year ,Banana,2131.0,31200.0,28.9
53,Assam,BAKSA,2006,Whole Year ,Coconut ,1456.0,11113000.0,28.1
54,Assam,BAKSA,2006,Whole Year ,Dry chillies,681.0,502.0,24.1
55,Assam,BAKSA,2006,Whole Year ,Onion,252.0,252.0,27.0
56,Assam,BAKSA,2006,Whole Year ,Potato,4763.0,30926.0,30.0
57,Assam,BAKSA,2006,Whole Year ,Sugarcane,340.0,13476.0,22.4
58,Assam,BAKSA,2006,Whole Year ,Sweet potato,299.0,1683.0,20.0
59,Assam,BAKSA,2006,Whole Year ,Tapioca,197.0,1389.0,25.9
60,Assam,BAKSA,2006,Whole Year ,Tobacco,9.0,4.0,24.7
61,Assam,BAKSA,2006,Whole Year ,Turmeric,576.0,533.0,24.9
62,Assam,BAKSA,2006,Winter     ,Rice,52195.0,67915.0,17.4
63,Assam,BAKSA,2007,Autumn     ,Rice,21551.0,20266.0,20.0
64,Assam,BAKSA,2007,Kharif     ,Arhar/Tur,165.0,99.0,24.2
65,Assam,BAKSA,2007,Kharif     ,Castor seed,27.0,14.0,23.1
66,Assam,BAKSA,2007,Kharif     ,Cotton(lint),6.0,3.0,29.1
67,Assam,BAKSA,2007,Kharif     ,Jute,1364.0,9533.0,29.0
68,Assam,BAKSA,2007,Kharif     ,Maize,205.0,154.0,21.7
